text,sentiment,split
"I remember trying a few minutes of this film, I'm very surprised I didn't watch all of it, from director Steve Gordon, his only film directed before dying of heart failure. Basically Arthur Bach (Golden Globe winning, and Oscar nominated Dudley Moore) is the happy drunk millionaire with everything he could want, a mansion, a butler Hobson (Oscar and Golden Globe winning, and BAFTA nominated Sir John Gielgud), and plenty of booze. He is to inherit $750,000,000 if he marries the daughter of fellow millionaire Burt Johnson (Stephen Elliott), they woman he and the family have chosen, Susan (Jill Eikenberry). But instead, Arthur finds himself falling for Queens waitress Linda Marolla (Golden Globe nominated Liza Minnelli), which of course is threatening the inheritance, and 3/4 of his family's fortune from father Stanford (Thomas Barbour) and Aunt Martha (Geraldine Fitzgerald). After the death of Hobson, Arthur, on the day of the wedding, disobeys the family's wishes, but Aunt Martha still gives Arthur the inheritance to live happily ever after with true love Linda. Also starring Ted Ross as Bitterman, Barney Martin as Ralph Marolla, Anne De Salvo as Gloria - Hooker, Maurice Copeland as Uncle Peter Bach, Justine Johnston as Aunt Pearl Bach, Florence Tarlow as Mrs. Nesbitt, Marcella Lowery as Harriet - Martha's Maid, John Bentley as Perry and Peter Evans as Preston Langley - Party Guest. Moore is wonderfully funny and a little cringing as the almost always drunk millionaire, Minnelli is likable as the woman he loves, and Gielgud of course makes a great Oscar winning impression as Moore's humorous humble sarcastic servant, a terrific screwball comedy. It won the Oscar for Best Song for ""Arthur's Theme (Best That You Can Do)"" (it also won the Golden Globe) (it was number 79 on 100 Years, 100 Songs), and it was nominated Best Writing, Screenplay Written Directly for the Screen, it was nominated the BAFTA Anthony Asquith Award for Film Music for Burt Bacharach, and it won the Golden Globe for Best Motion Picture - Comedy/Musical. Sir John Gielgud was number 35 on The 50 Greatest British Actors, and the film was number 53 on 100 Years, 100 Laughs. Very good!",1,train
"What really amazed me about this film was that it ringed so false. First of all, who in the late 80's (when the film takes place)lived like this family? A college professor wouldn't make enough money to support the lifestyle I saw on the film. Hence, he and his stay home wife would be plagued by financial woes, especially when she gets cancer. Second, Streep is my age, and most women, particularly in her class (educated, white, well off) experienced the feminist movement. Yet this woman seems oblivious to her anachronistic behavior. I actually felt that she was a very controlling woman who kept her husband an emotional child by taking care of his every need.<br /><br />The fact that so many people were moved by the film is amazing. I have admired Carl Franklin's films in the past, and I actually like Meryl Streep, but gad, what a manipulative and lying film this is.",0,test
"This documentary was boring, and quite stupid.<br /><br />I mean... the documentary maker obviously does not even know what how Darwinian evolution works? It is a theory, and the name is just plain dumb. Reading a college biology text-book could have told the documentary maker what Darwinism really is. Darwinism is a good theory, but evil if it is done as politics.<br /><br />Also there was no real evidence in this documentary just interviewing some people... no expert testimonies, and shady leads...<br /><br />The documentary was also boring. I mean it could have been edited down to 35 minutes, and then it would have been lots better.<br /><br />There are a lot better documentaries than this... this was not worth watching... you can get better information from Wikipedia =D DON'T WASTE YOUR MONEY AND TIME!",0,test
"I watched this movie with my mother. She is 81 yrs.old and was raised to be a bigot. She even acknowledges this. I don't think she really understood what was happening, she had already made up her mind that the kid was guilty. Scary. I felt for this child and his family. What torture they went through and remained faithful. That is true faith. Back to the movie. I was disgusted by the police force and their ineptitude. I am so glad that this public defender was chosen to work this case. It was very fortunate for this family that they had a person that cared enough to see through the crap that was handed to him. I could tell when one the cops was lying. He would not look the defender in the eyes. His eyes moved to the side when he answered the questions. It is unfortunate that a black person has to be punished because of the color of his skin. I read the book about the black man being dragged behind a truck by three white men. They were finally found guilty after many years. I can't remember the title, but it was the same premise. Whites doing whatever they want with blacks. I am sure the child in the movie will be traumatized for a long time, if not forever. I pointed out to my mother that most serial killers and pedophiles are white. No comment from her. I want to commend the director and producer of this film. I feel the exposure they gave to this blatant injustice was a necessary project. I am an avid viewer of indy films. I feel that they are well written and have substance. I am pleased that I happened to grab this movie on the shelf. I felt compelled to write a comment because of how strongly I feel about the film and the prejudice that continues to exist in our modern society.",1,test
"The Dukes of Hazzard will academy awards!! Best actor and actress 4 the persons who can say with a straight face that this was a great movie.<br /><br />This ""movie"" was a torture to watch. So sad how an weekly half hour entertainment was destroyed by these amateurs.The only good thing about this crap was the car! I remember when Daisy was a real threat to look 4ward 2. Who's the moron that decided that Jessica Simpson is hot?! We know she can't act but come on. In the TV show Daisy was a fox and brunette.<br /><br />All members who contributed in these waste of time please please please don't even think about makin a sequel, a prequel or anything that's got 2 do with a former TV show.<br /><br />I gave a empty DVD so this ""movie"" could be burned 4 me. I sat trough it and i want my money back!",0,train
"This picture seemed way to slanted, it's almost as bad as the drum beating of the right wing kooks who say everything is rosy in Iraq. It paints a picture so unredeemable that I can't help but wonder about it's legitimacy and bias. Also it seemed to meander from being about the murderous carnage of our troops to the lack of health care in the states for PTSD. To me the subject matter seemed confused, it only cared about portraying the military in a bad light, as A) an organzation that uses mind control to turn ordinary peace loving civilians into baby killers and B) an organization that once having used and spent the bodies of it's soldiers then discards them to the despotic bureacracy of the V.A. This is a legitimate argument, but felt off topic for me, almost like a movie in and of itself. I felt that ""The War Tapes"" and ""Blood of my Brother"" were much more fair and let the viewer draw some conclusions of their own rather than be beaten over the head with the film makers viewpoint. F-",0,train
"Two city guys are driving through Hicksville USA when a rusty monster truck suddenly appears and repeatedly attempts to run them off the road.Having picked up a mysterious blonde hitchhiker,they pull up at a truck-stop full of redneck amputees,one of whom warns them of 'the demon out there'. But they don't listen.Big mistake!""Monster Man"" by Michael Davis mixes comedy with horror surprisingly well.The film borrows heavily from ""Duel"",""The Blair Witch Project"",""Jeepers Creepers"" and ""The Texas Chainsaw Massacre"".The story is pretty silly,but there is enough gore and violence to keep splatter freaks happy.I enjoyed especially the performance of Justin Urich,which offers the film its comedy relief.Still the complete lack of suspense is hard to forgive.Give this one a chance,if you have some time to waste.7 out of 10.Did I mention that Aimee Brooks is sexy?",1,test
"I know I'm in the minority, but...<br /><br />Uwe Boll is about as talented as a frog. Not even a toad; just a frog. He's reminiscent of about a hundred other no-talent hacks who churn out one useless crap-fest after another. <br /><br />This movie? Is a crap-fest. Slater's talent is only minimally utilized leading one to believe he's got other things (like his failed relationship) on his mind. Reid performs as if she has either forgotten her acting lessons, been severely hit on the head and MADE to forget her acting lessons, or has one of the worst directors in the history of film. I'm voting on the third choice, myself, although the other two are always possible. <br /><br />Uwe Boll has never done a single thing from which I've derived even the slightest pleasure. Frankly, I'm satisfied that he made this stinker. I was concerned with Bloodrayne competing with ""Underworld: Evolution"" for ticket sales. Now, I'm confident that Len Wiseman has nothing, and I mean NOTHING, to worry about.<br /><br />This rates a 1.0/10 rating for this messy, convoluted crap-fest, from...<br /><br />the Fiend :.",0,train
"Normally, I do not review online, but it's Saturday and I'm trapped in my room, on a rainy day with nothing to do but watch sci-fi movies and Xena: Warrior Princess (I can't get the damned 'Joxer the Mighty' song out of my head, it's been there for the past ten years or so, just pops up randomly when someone(me) does something idiotic). If you have any complaints about this movie, and actually post them on the internet, do you have ANY idea how much of an idiot you look like? If you expect more out of Bruce Campbell than what he puts out (in the most literal sense) than why in G-d's holy name do you watch his movies? No one watches a Bruce Campbell movie when they want to see something genius and intelligible, we watch them so we feel better about ourselves (like those people who watch Jerry Springer and eat Chunky Monkey), and to be easily entertained by mindless psycho-babble. I, personally, love Bruce Campbell movies. I'm not a complete idiot, in fact, I see myself as an intellectual and a scholar(haha, shut up, Ally). His movies reflect insane, random, quirky, ridiculous ideals which anyone with a brain, screaming or no, can enjoy. That, and he was kind of sexy on Xena: Warrior Princess, even with the facial hair. I rate this movie an excellent 10, just because I can. If you can't take simplistic plot-schemes (if any), hot babes in sci-fi splendor(leather, spandex), and familiar if not exhausted views of insanity, then fer cryin' out loud, don't watch the movie(or any that so much as mention the name Bruce Campbell). Oh yeah, Ted Raimi was awesome in this movie! Way to go Ted! You did the best with what you had. ;|",1,test
"Morte a Venezia is one of my favorite movies. More than beautiful, it's really sublime. It gives you important aesthetic experiences, it's a masterpiece. I also recommend the novel. Luchino Visconti is a genius.",1,test
"This Italian film from the '70's is NOT even in the class with Dog Soldiers, The Howling, or even that awful American Werewolf in Paris, BUT...it is fun to watch. I'm talking about watching the lead actress, a stunning blonde, run amok in her birthday suit. We're talking about graphic, complete nudity...it's obvious that she is a real blonde...humma humma humma!! The story is a hoot, the SFX are childish, and the acting (for the most part) stinks. The only redeeming value of this movie is all (and there is a LOT) the nudity & sex scenes. Tame by HBO standards, but still fun to see when you find yourself without a date on Saturday night. OK...HERE'S THE SPOILER...There is NO werewolf (except in the opening scene of the heroine(??)'s ancestor. The girl just imagines that she's a werewolf...in other words, a clinical Lycanthrope.",0,train
"Fred was such a great show.It was simple but somehow very addicting.I can still remember the days when I'd watch this on Kids WB Saturdays ,but then Kids WB did the unforgivable.Kids WB became like that older relative that tries to act ""hip"" and ""funky fresh"".*shudder*They became like that relative who tries to act all cool ,but the attempt is a cheesy disaster.They pulled Coconut Fred's Fruit Salad Inland and all the other good shows to put on some of the most pointless shows I've ever seen In my life(Johnny Test).The only thing that keeps me watching KWB anymore is the occasional bits of the old shows and the anime on 4kids.It was such a huge mistake to pull this show off of the schedule.This brings me back to my first point... BRING IT BACK!!!",1,test
"I pity people calling kamal hassan 'ulaganaayakan' maybe for them ulagam is tollywood ! comeon guys..this movie is a thriller without thrill..<br /><br />come out of your ulagam and just watch some high class thrillers like The Usual Suspects or even The Silence of the Lambs.<br /><br />technically good but style over substance kamal doesn't look like a police officer, there is no thrill whatsoever dragging and boring till end you might be saving 3 valuable hrs of your life if u skip watching this movie.<br /><br />kamal at his best is the best in tollywood",0,train
"I saw the movie before I read the Michelle Magorian book and I enjoyed both. The movie, more than the book, made me come close to tears on several occasions. This film touches the deepest points of the human soul and never lets go. I encourage as many people to watch this masterpiece as much and as soon as possible. I give it ten stars.",1,train
"Fantastic Russian WWII movie. Like most Russian WWII movies, The Ascent is incredibly harrowing. It's also dense in its symbolism. The story follows two partisans, Sotnikov and Rybak (Boris Plotnikov and Vladimir Gostyukhin), who go on a mission to search for food. On their trip, they are spotted by German soldiers, who wound Sotnikov. Sotnikov, in turn, kills one of the Germans, which leads to trouble for the two partisans and everyone else they later run into. The greatest success of the film is its vivid sense of place. Russia is frozen and snowy, and it's hard not to feel that cold go straight to your own bones. Shepitko keeps her shot close to the characters, examining every crag of their faces. It was probably not the choice, but the film is framed 1.33:1, which gives the film a sense of claustrophobia. While the entire film is quite an achievement, I did feel that the first half was stronger than the second. My main complaint about the movie is that it develops into a very unsubtle Christian allegory by its climax. I just don't think the symbolism adds much to the proceedings, especially when I was already intrigued by the debate between the two partisans. It's not quite fair. I was weighing the pros and cons of their argument. I began to lean toward the point of view of a certain character, and then the director pops up and tells me that he's Judas! Despite some heavy-handedness, this is still a must-see.",1,test
"<br /><br />The kind of movie that demands too much from the audience, yet to disappoint most of them. I think of the Mexican people who (either in an attempt to support Mexican movies or willing to see a film casting top Mexican stars) saw it, half of the people went out of the theater when I went to watch it, it's definitely not the kind of movie one could expect. I think too of the people from other countries who dared spending 2 hours seeing it till the very end, ""what a piece of crap"". In order to understand Cronica de un desayuno, one has to be mexican, and one has to be familiar with the low middle classes (or even better, be part of them). There's nothing accidental in this movie, the family is and has what many families, in Mexico at least, share. One has to see it with a wide open mind to accept it entirely, it's not the kind of movie that you fully understand after you watch it. The older brother wouldn't let anyone sit on his RED couch, the sister is staying no matter how she wants to leave, the younger brother is going to an excursion, and all he cares about is the yellow radio, the mother has to prepare the breakfast for the family, no matter how tense and unbearable the situation is. The father came back after who knows how long, allowing the mother to live a night of passion that somehow turns out to be momentary, and ends up by repeating all the attitudes of his sons... The stories around the house are surrealistic (and so is the movie), a travestite looking for his penis, a factory worker and his attempt of suicide, subtled by the kisses of his girlfriend, a fat man riding his bicycle after a interesting conversation about homosexuals with his sister? wife? mother?... The music doesn't pretend too much but it achieves a lot, not more than a snare drum, cymbal, a some strings. Thanks good a movie like this was done and released.<br /><br />One of the best mexican movies ever!, and one of the less understood, even by mexican themselves, no matter how identified the should have felt with it.<br /><br />",1,test
"i L-O-V-E this movie... everyone and their grandmother's sister's lawyer's dentist needs to own it! its witty, devilish, thrilling, comedic, and full of toasty action-packed goodness! with this movie, those amazing people at troma offer you a whole new perspective into the story of romeo and juliet in ways you never would have thought to be possible! it has all the makings of an instant classic-- car crashes, deliciously lewd sex scenes, feuding families, street fights, amazing music, severed heads, and lemmy from motörhead narrates the story line! and thats only a taste of what it has to offer! every single person i have watched this movie with now owns their own copy or longs to... A+++++ and ++",1,test
"When this showed at the Seattle Int'l Film Fest I was the only person standing and clapping and cheering. The rest of the crowd booed or was silent. It is a well played small film that reaches deep into the reality of a young gay man's humanity. It is about a real man; and does not play to the insipid hyper-buffed muscular ""gay paositive"" that passes for the genre of non-porn Gay cinema (and that is why so much of contemporary Gay genre movies are so dull). This movie is Intense Passsion and Great Tragedy. The acting and directing and cinematography is fantastic; it all keeps the film clastrophobic and tense and passionate. Don't miss this if you can find it.",1,test
"I rented this movie because Elijah Wood has done some good work and I thought this might be an overlooked treasure. It was not a treasure. I don't know if this was straight to video, but it should have been straight to the dump.<br /><br />Elijah Wood fans will like the fact that he appears shirtless in a much-too-brief shower scene. But, no sane person would like this script. Imagine Memento played by teen actors, but ten times more confusing and a hundred times less plausible. Case in point: Janeane Garofalo plays a caring psychologist (apparently `keeping the chain of mediocrity alive').<br /><br />As if false memories syndromes and mind-over-matter medicine weren't hokey enough, the movie also hinges on one of those unexplained psychic twin bonds that keep the plot moving and the audience baffled. This same twin bond creates a few too many contrived love scenes between Wood's character and the girl from She's All That, who plays the saintly sister of Wood's angry cancer-victim friend.<br /><br />Adding to the triteness of this screenplay, Wood's other friends are a mentally challenged cancer victim and Kidney, a young black boy afflicted with a mysterious kidney disease. Kidney's dying wish comes true when Dr. Garofalo gives him his own Walkman. This character's hackneyed function in the story is matched by his on-again, off-again relationship to walking. Usually bound to a wheelchair, Kidney has several inexplicable scenes showing him pushing others around in it.<br /><br />Kindey's characterization may be one small detail, but it is indicative of this film's many other flaws. The Bumblebee Flies Anyway is definitely bumbling, but it never flies.",0,test
"Normally i would applaud a movie that tries to do something different or original in a genre. It is obvious that this movie is some sort of parody on ninja movies. And i really did my best to enjoy the movie. But I just couldn't. The jokes aren't funny enough! (I've seen my share of Japanese movies. And most of the times I like and understand the humor used in those movies. ""Red Shadow"" is just silly!)The characters that are portrayed in this movie know that this isn't a serious movie and show that all is about the fun. Look at the characters from parodies like ""Hot Shots"" or ""Scary Movie"". Everything they do on the screen is done with a straight face and never fall out of character! And because of this, certain scenes become funny and hilarious. In ""Red Shadow"" the actors never achieve that. The shadow ninja's supposed to be very skilled and deadly. Sadly the actors don't do their best in convincing us of their talents. They don't do things with a straight face. The jokes would have worked better if they did! The bad choreography of the action scenes also damaged the viewing experience for me. I like humor in martial arts movies as long as the action is good. ""Red Shadow"" just fails in that department. So what is left to be enjoyed. Well,the music (techno) was uplifting. It had to be as the action it self never is exciting. And there are some short dramatic scenes that are good but simple. The use of humor,lack of story and depth make me think that this movie is meant for children. But I do wonder if children actually would like this movie. Waste of time!",0,test
"This film would usually classify as the worst movie production ever. Ever. But in my opinion it is possibly the funniest. The horrifying direction and screenplay makes this film priceless. I bought the movie whilst sifting through the bargain DVD's at my local pound shop. Me and some friends then watched it, admittedly whilst rather drunk. It soon occurred that this wasn't any normal film. Instead a priceless relic of what will probably be James Cahill's last film. At first we were confused and were screaming for the DVD player to be turned off but thankfully in our abnormal state no-one could be bothered. Instead we watched the film right through. At the end we soon realised we had found any wasters dream, something that you can acceptably laugh at for hours, whilst laughing for all the wrong reasons. We soon showed all our other friends and they too agreed, this wasn't a work of abysmal film. This was a film that you can truly wet yourself laughing at. This was a film that anyone can enjoy. This was genius.",1,train
"The best martial arts movie ever made. This one movie is better than anything Bruce Lee ever did. A classic with a thoroughly entertaining and brutal climax. Jackie Chan is the king of martial arts movies and the true king of kung fu.It's a great pity that whilst Bruce Lee had been so overrated, it took Jackie Chan an eternity to become popular in Europe and America. Jackie rules!!!!",1,train
"I haven't laughed this hard at a movie in a long time. I got to go to an advance screening, and was thrilled because I had been dying to see it. I had tears in my eyes from laughter throughout a lot of the movie. The audience all shared my laughter, and was clapping and yelling throughout most of the movie.<br /><br />Kudos to Steve Carrell(who I had already been a fan of). He proves in this movie his tremendous talent for comedy. He has a style that I haven't seen before. And Catherine Keener is excellent as always. Thank God there wasn't a cameo from Will Ferrell(love him, but saw him too much this summer).<br /><br />There were parts of comedic genius in this movie. Partly thanks to Carrell, and partly thanks to the writing(also Carrell). The waxing scene and the speed dater with the ""obvious problem"" were absolutely hysterical.<br /><br />I will definitely go see '40 Year Old Virgin' when it's released. My advice: go to see it for huge laughs and an incredibly enjoyable movie on top of it.",1,train
"Its not Braveheart( thankfully),but it is fine entertainment with engaging characters and good acting all around. I enjoyed this film when it was released and upon viewing it again last week,find it has held up well over time. Not a classic film,but a very fine and watchable movie to enjoy as great entertainment.",1,train
